"","Domain","EIN","Name","TwitterHandle"
"1","100club.org","237172077","100 CLUB OF ARIZONA","100ClubAZ"
"2","100clubchicago.org","366158087","The Hundred Club of Cook County","Chicago100Club"
"3","100plusabandoneddogsofevergladesflorida.org","455195419","100PLUSANIMALRESCUE INC","100plusrescue"
"4","100r.org","900702671","100REPORTERS","100Reporters"
"5","1bsa.org","630302107","GREATER ALABAMA COUNCIL INC","1bsa"
"6","211oc.org","330063532","People For Irvine Community Health","211OrangeCounty"
"7","2harvest.org","237417654","SECOND HARVEST HEARTLAND","2harvest"
"8","402artscollective.org","452527395","(402) Arts Collective","402Arts"
"9","40daysforlife.com","260308665","40 DAYS FOR LIFE","40DaysDallas"
"10","49ers.com","770287514","SAN FRANCISCO FORTY NINERS FOUNDATION","VinceWest_213"
"11","4cforchildren.org","310823634","Comprehensive Community Child Care Inc","4CforChildren"
"12","4pca.org","561998033","PRATTVILLE CHRISTIAN ACADEMY","4PCAPanthers"
"13","4us.org","20732247","RIDE4US","4UltraSound"
"14","500festival.com","351961814","500 FESTIVAL FOUNDATION INC","500Festival"
"15","50can.org","273069592","50CAN INC","marcportermagee"
"16","6thstreetplayhouse.com","941748527","Santa Rosa Players DBA","6thSP"
"17","99balloons.org","261298485","99 BALLOONS INC","99balloonsorg"
"18","a-span.org","541615993","Arlington Street People's Assistance Network Inc","ASPANlink"
"19","a21.org","263442008","THE A21 CAMPAIGN INC","A21"
"20","a2sf.org","382307397","ANN ARBOR SUMMER FESTIVAL INC","AASummerFest"
"21","a2so.com","386069701","ANN ARBOR SYMPHONY ORCHESTRA INC","A2SO"
"22","aaa1c.org","382322126","THE SENIOR ALLIANCE INC","AAA1C"
"23","aaainc.org","521614093","ARMENIAN ASSEMBLY OF AMERICA INC","mihrjan"
"24","aaan.org","364034958","Arab American Action Network","aaanmarkaz"
"25","aaas.org","530196568","AMERICAN ASSOCIATION FOR THE","tiffanylohwater"
"26","aabb.org","522059102","NATIONAL BLOOD FOUNDATION RESEARCH AND","AABB"
"27","aabb.org","362384118","AMERICAN ASSOCIATION OF BLOOD BANKS","AABB"
"28","aabgu.org","237270753","AMERICAN ASSOCIATES BEN-GURION","AABGU"
"29","aacasa.org","521885500","ANNE ARUNDEL COUNTY CASA INC","AnneArundelCASA"
"30","aaci.org","942292491","THE ASIAN AMERICANS FOR COMMUNITY","AACIorg"
"31","aacom.org","237190271","AMERICAN ASSOCIATION OF COLLEGES OF","AACOMmunities"
"32","aacpl.net","526001871","PUBLIC LIBRARY ASSOCIATION OF ANNAPOLIS AND A A CO INC","aacpl"
"33","aafcs-ca.org","330023520","California Association of Family","CAAFCS"
"34","aafpfoundation.org","446013671","AMERICAN ACADEMY OF FAMILY PHYSICIANS","AAFPFoundation"
"35","aam-us.org","530205889","AMERICAN ASSOCIATION OF MUSEUMS","LottLaura"
"36","aaopt.org","430768182","AMERICAN OPTOMETRIC FOUNDATION","aaopt"
"37","aaos.org","362110592","AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS","will_aaos"
"38","aap.org","362275597","AMERICAN ACADEMY OF PEDIATRICS","AmerAcadPeds"
"39","aapci.org","113305070","African American Planning Commission Inc","aapcidotorg"
"40","aaps.org","521444968","AMERICAN ASSOCIATION OF PHARMACEUTICAL SCIENTISTS","AAPSComms"
"41","aapt.org","520749775","AMERICAN ASSOCIATION OF PHYSICS TEACHERS","AAPTHQ"
"42","aarp.org","263698436","Experience Corps","snorrick"
"43","aas.org","210735173","AMERICAN ASTRONOMICAL SOCIETY","AAS_Office"
"44","aaslh.org","390962197","AMERICAN ASSOCIATION FOR STATE AND","AASLH"
"45","abainternational.org","382325364","SOCIETY FOR THE ADVANCEMENT OF","ABAIEvents"
"46","abcardio.org","953959283","ASSOCIATION OF BLACK CARDIOLOGISTS INC","ABCardio1"
"47","abcforhealth.org","30410202","ABC FOR RURAL HEALTH INC","ABCforHEALTH"
"48","abchomes.org","710296619","ARKANSAS BAPTIST CHILDREN'S HOMES","james_barham"
"49","abesgarden.org","61818302","ABES GARDEN","AbesGarden"
"50","abhow.com","311539936","REDLANDS SENIOR HOUSING II","ABHOW_News"
"51","abhow.com","943292737","TAHOE SENIOR PLAZA INC","ABHOW_News"
"52","abhow.com","262704795","GOOD SHEPHERD SENIOR HOUSING CORPORATION","ABHOW_News"
"53","abhow.com","943255886","Allen Temple Housing Corporation III","ABHOW_News"
"54","abhow.com","770389124","JUDSON TERRACE LODGE INC","ABHOW_News"
"55","abhow.com","942902763","REDLANDS SENIOR HOUSING INC","ABHOW_News"
"56","abhow.com","330748323","Bellflower Oak Street Manor","ABHOW_News"
"57","abhow.com","237090282","Bellflower Friendship Manor Inc","ABHOW_News"
"58","abilitybeyond.org","141758770","Ability Beyond Disability","AbilityBeyond"
"59","abilityfirst.org","951690983","ABILITYFIRST","AbilityFirstLA"
"60","abodeservices.org","943205085","ALLIED HOUSING INC","abode_services"
"61","abodeservices.org","943087060","ABODE SERVICES","abode_services"
"62","abortioncarenetwork.org","261972058","ABORTION CARE NETWORK","AbortionCare"
"63","abota.org","570969581","FOUNDATION OF THE AMERICAN BOARD OF","abotafoundation"
"64","abtech.edu","451732585","Asheville-Buncombe Technical and Community College Education and En","abtech_cc"
"65","abtech.edu","561993458","ASHEVILLE-BUNCOMBE TECHNICAL COMMUNITY","abtech_cc"
"66","acacamps.org","351811277","AMERICAN CAMPING FOUNDATION INC","rosenbergtom"
"67","acacamps.org","350962419","AMERICAN CAMPING ASSOCIATION INC","ACAcamps"
"68","acad.org","521002050","AMERICAN CONFERENCE OF ACADEMIC DEANS","ACADeans"
"69","academyofsciencestl.org","430718799","ACADEMY OF SCIENCE OF ST LOUIS","AcademyofSciSTL"
"70","acadianabigs.com","581634741","BIG BROTHERS AND BIG SISTERS OF ACADIANA","AcadianaBigs"
"71","acadv.org","630907890","ALABAMA COALITION AGAINST DOMESTIC VIOLENCE INC","ACADV"
"72","acarts.org","43034682","ARLINGTON CENTER FOR THE ARTS INC","arlington_arts"
"73","acb.org","580914436","AMERICAN COUNCIL OF THE BLIND","acbnational"
"74","acbohio.org","310989044","American Council of the Blind Ohio Chapter","ACBOhio"
"75","accel.org","953497070","ACCEL","ACCEL_AZ"
"76","accessbooks.net","311655018","ACCESS BOOKS","accessbooksca"
"77","accessclinics.org","741655329","ACCESS ESPERANZA CLINICS INC","AccessClinics"
"78","accesssacramento.org","680062555","SACRAMENTO COMMUNITY CABLE FOUNDATION","QuentinSac"
"79","accessservices.org","232003056","ACCESS SERVICES INC","AccessServesPA"
"80","accfb.org","942960297","ALAMEDA COUNTY COMMUNITY FOOD BANK","ACCFB"
"81","accion.org","132535763","ACCION INTERNATIONAL","accion"
"82","accokeek.org","526037288","Accokeek Foundation","Accokeek"
"83","acctphilly.org","453985637","ANIMAL CARE AND CONTROL TEAM","ACCTPhilly"
"84","acdivoca.org","520811461","ACDIVOCA","acdivoca"
"85","acementor.org","30505898","ACE Mentor Los Angeles Metropolitan Area Inc","ACEMentorEPA"
"86","acementor.org","141865697","ACE Mentor Program of Eastern PA Inc","ACEMentorEPA"
"87","acementor.org","510465877","ACE MENTOR PROGRAM OF AMERICA","ACEMentorEPA"
"88","acenet.edu","530196573","AMERICAN COUNCIL ON EDUCATION","LeadershipACE"
"89","acfb.org","581376648","ATLANTA COMMUNITY FOOD BANK INC","cameroneturner"
"90","acgusa.org","131889074","American Council on Germany Inc","ACG_USA"
